Token:                          ST position:                    
number                          -1                              
x                               0                               
input                           -1                              
(                               -1                              
x                               0                               
)                               -1                              
number                          -1                              
prime                           1                               
=                               -1                              
1                               9                               
if                              -1                              
(                               -1                              
x                               0                               
<                               -1                              
2                               0                               
)                               -1                              
{                               -1                              
prime                           1                               
=                               -1                              
0                               8                               
}                               -1                              
;                               -1                              
if                              -1                              
(                               -1                              
x                               0                               
=                               -1                              
=                               -1                              
2                               0                               
)                               -1                              
{                               -1                              
prime                           1                               
=                               -1                              
1                               9                               
}                               -1                              
;                               -1                              
if                              -1                              
(                               -1                              
x                               0                               
%                               -1                              
2                               0                               
=                               -1                              
=                               -1                              
0                               8                               
)                               -1                              
{                               -1                              
prime                           1                               
=                               -1                              
0                               8                               
}                               -1                              
;                               -1                              
number                          -1                              
i                               5                               
for                             -1                              
(                               -1                              
i                               5                               
=                               -1                              
2                               0                               
,                               -1                              
i                               5                               
<                               -1                              
x                               0                               
//                              -1                              
2                               0                               
,                               -1                              
i                               5                               
=                               -1                              
i                               5                               
+                               -1                              
1                               9                               
)                               -1                              
:                               -1                              
if                              -1                              
(                               -1                              
x                               0                               
%                               -1                              
i                               5                               
=                               -1                              
=                               -1                              
0                               8                               
)                               -1                              
{                               -1                              
prime                           1                               
=                               -1                              
0                               8                               
}                               -1                              
;                               -1                              
if                              -1                              
(                               -1                              
prime                           1                               
==                              -1                              
1                               9                               
)                               -1                              
{                               -1                              
print                           -1                              
(                               -1                              
'''The number is prime'''       1                               
)                               -1                              
}                               -1                              
;                               -1                              
else                            -1                              
{                               -1                              
print                           -1                              
(                               -1                              
'''The number is not prime'''   2                               
)                               -1                              
}                               -1                              
;                               -1                              
